1;Amphi;m;1;1;1036;4
2;Ano;a;1;2;1002;1
3;Bathy;d;2;9;1041;
4;Endo;n;1;4;1038;6
5;Epi;p;1;3;1004;2
6;Kato;k;1;5;1037;5
7;Panto;e;1;6;1003;
8;Poly;y;1;7;1039;3
9;Supra;s;1;8;1001;
10;Thapto;b;3;10;;
11;Thaptobathy;db;3;11;;
