30;Abruptic;;ap;30;;1001;2;3;1050;Abruptic;;1;;false;;true;true;true;false;false;false;false;false;true;false
60;Geoabruptic;;go;30;;1001;1;3;1060;Abruptic;;1;;false;;true;true;true;false;false;false;false;false;true;false
90;Aceric;;ae;90;;;;;1070;Aceric;Solonchak;2;;false;;true;true;true;true;true;true;true;false;true;false
120;Acric;;ac;120;1056;;;1;1080;Acric;;2;;false;;true;true;true;true;true;true;true;false;true;true
150;Acroxic;;ao;150;1063;;2;2;1090;Acroxic;Andosol;2;;false;;true;true;true;true;true;true;true;false;true;false
180;Activic;;at;180;;;;;1100;Activic;Ferralsol;2;;false;;true;true;true;true;true;true;true;false;true;false
210;Aeolic;;ay;210;;;;;1110;Aeolic;;2;Ano - Panto;false;;false;false;false;false;true;true;false;false;false;false
240;Albic;;ab;240;1065;;1;1;1120;Albic;;;;false;;true;true;true;true;true;true;true;false;true;false
270;Alcalic;;ax;270;;;;;1130;Alcalic;;;;false;;false;false;false;false;false;false;false;false;false;false
300;Alic;;al;300;1056;;;1;1140;Alic;;2;;false;;true;true;true;true;true;true;true;false;true;true
330;Aluandic;;aa;330;1062;;1;2;1150;Aluandic;Andosol;2;;false;;true;true;true;true;true;true;true;false;true;false
360;Andic;;an;360;;1002;1;1;1160;Andic;;2;;false;10;true;true;true;true;true;true;true;true;true;false
390;Protoandic;;qa;360;;1002;2;1;1170;Andic;;2;;false;10;true;true;true;true;true;true;true;true;true;false
420;Anthraquic;;aq;420;1057;1057;1;1;1180;Anthraquic;;;;false;;false;false;false;false;false;false;false;false;false;false
450;Anthric;;ak;450;;;;;1190;Anthric;;;;false;;false;false;false;false;false;false;false;false;false;true
480;Archaic;;ah;480;;;;;1200;Archaic;Technosol;2;;false;;true;true;true;true;true;true;true;false;true;false
510;Arenic;;ar;510;1054;1054;1;4;1010;Arenic;;2;no subqualifier if a limiting layer starts < 60 cm from the mineral soil surface;false;20;true;true;true;true;true;true;true;true;true;false
540;Arenicolic;;ad;540;;;;;1210;Arenicolic;;;;false;;false;false;false;false;false;false;false;false;false;false
570;Aric;;ai;570;;;;;1220;Aric;;2;Ano - Panto;false;;false;false;false;false;true;true;false;false;false;false
600;Arzic;;az;600;;;;;1230;Arzic;Gypsisol;;;false;;false;false;false;false;false;false;false;false;false;false
630;Biocrustic;;bc;630;;;;;1240;Biocrustic;;;;false;;false;false;false;false;false;false;false;false;false;false
660;Brunic;;br;660;1005;1003;2;1;1250;Brunic;;;;false;;false;false;false;false;false;false;false;false;false;false
690;Neobrunic;;nb;660;1005;1003;1;1;1260;Brunic;;;;false;;false;false;false;false;false;false;false;false;false;false
720;Bryic;;by;720;;;;;1270;Bryic;;;;false;;false;false;false;false;false;false;false;false;false;false
750;Calcaric;;ca;750;1053;1053;2;2;1280;Calcaric;;2;no subqualifier if a limiting layer starts < 60 cm from the mineral soil surface;false;30;true;true;true;true;true;true;true;true;true;false
780;Calcic;;cc;780;1004;1004;2;2;1290;Calcic;;2;;false;;true;true;true;true;true;true;true;false;true;true
810;Hypercalcic;;jc;780;1004;1004;1;2;1300;Calcic;;2;;false;;true;true;true;true;true;true;true;false;true;true
840;Protocalcic;;qc;780;1004;1004;4;1;1310;Calcic;;2;;false;;true;true;true;true;true;true;true;false;true;true
870;Cambic;;cm;870;1005;1005;2;1;1320;Cambic;;;;false;;false;false;false;false;false;false;false;false;false;true
900;Neocambic;;nc;870;1005;1005;1;1;1330;Cambic;;;;false;;false;false;false;false;false;false;false;false;false;false
930;Capillaric;;cp;930;;;;;1340;Capillaric;;;;false;;false;false;false;false;false;false;false;false;false;false
960;Carbic;;cb;960;1064;;;1;1350;Carbic;Podzol;;;false;;false;false;false;false;false;false;false;false;false;false
990;Carbonatic;;cn;990;;;;;1360;Carbonatic;Solonchak;;;false;;false;false;false;false;false;false;false;false;false;false
1020;Carbonic;;cx;1020;;;;;1370;Carbonic;;2;;false;;true;true;true;true;true;true;true;false;true;false
1050;Chernic;;ch;1050;1006;1006;2;1;1380;Chernic;;2;Ano - Panto;false;;false;false;false;false;true;true;false;false;true;true
1080;Tonguichernic;;tc;1050;1006;1006;1;1;1390;Chernic;;2;Ano - Panto;false;;false;false;false;false;true;true;false;false;true;true
1110;Chloridic;;cl;1110;;;;;1400;Chloridic;Solonchak;;;false;;false;false;false;false;false;false;false;false;false;false
1140;Chromic;;cr;1140;1067;;;1;1410;Chromic;;;;false;;false;false;false;false;false;false;false;false;false;false
1170;Claric;;cq;1170;1067;;;1;1420;Claric;Arenosol;2;ohne Epi;false;;false;true;true;true;true;true;true;false;false;false
1200;Clayic;;ce;1200;1054;1054;2;4;1020;Clayic;;2;no subqualifier if a limiting layer starts < 60 cm from the mineral soil surface;false;20;true;true;true;true;true;true;true;true;true;false
1230;Coarsic;;cs;1230;;;;;1430;Coarsic;;;;false;;false;false;false;false;false;false;false;false;false;false
1260;Cohesic;;co;1260;;;;;1440;Cohesic;;2;;false;;true;true;true;true;true;true;true;false;true;false
1290;Columnic;;cu;1290;;;;;1450;Columnic;;2;;false;;true;true;true;true;true;true;true;false;true;false
1320;Cordic;;cd;1320;;;;;1460;Cordic;;2;;false;;true;true;true;true;true;true;true;false;true;false
1350;Cryic;;cy;1350;;;;;1470;Cryic;;1;Epi - Endo;false;;true;true;false;false;false;false;false;false;false;false
1380;Cutanic;;ct;1380;;;;;1480;Cutanic;;;;false;;false;false;false;false;false;false;false;false;false;false
1410;Densic;;dn;1410;;;;;1490;Densic;;;;false;;false;false;false;false;false;false;false;false;false;false
