1,Histosol,HS
2,Anthrosol,AT
3,Technosol,TC
4,Cryosol,CR
5,Leptosol,LP
6,Solonetz,SN
7,Vertisol,VR
8,Solonchak,SC
9,Gleysol,GL
10,Andosol,AN
11,Podzol,PZ
12,Plinthosol,PT
13,Planosol,PL
14,Stagnosol,ST
15,Nitisol,NT
16,Ferralsol,FR
17,Chernozem,CH
18,Kastanozem,KS
19,Phaeozem,PH
20,Umbrisol,UM
21,Durisol,DU
22,Gypsisol,GY
23,Calcisol,CL
24,Retisol,RT
25,Acrisol,AC
26,Lixisol,LX
27,Alisol,AL
28,Luvisol,LV
29,Cambisol,CM
30,Fluvisol,FL
31,Arenosol,AR
32,Regosol,RG
